Name,Date,Amount lost,Chains,Classification,Technique,Language
MAP Protocol,1779235200,110000,"Ethereum, BSC",Protocol Logic,Infinite Mint and Dump,Solidity
RetoSwap,1779235200,2700000,Monero,Protocol Logic,ACK Message Frontrun Exploit,C++
HermesVault,1779148800,30000,Algorand,Protocol Logic,Rekeying Attack,Javascript
SEA Token,1778976000,153000,Arbitrum,Protocol Logic,Flashloan Price Manipulation,Solidity
Verus-Ethereum Bridge,1778976000,11500000,Ethereum,Protocol Logic,Bridge Verification Bypass,Solidity
Adshares,1778889600,628000,Ethereum,Protocol Logic,Bridge Verification Bypass,Solidity
Thorchain DEX,1778803200,10000000,"Bitcoin, Ethereum, Base, BSC",Protocol Logic,Vault Churn Address Poisoning,
Transit Finance,1778630400,1880000,Tron,Protocol Logic,Deprecated Smart Contract Exploit,Solidity
Aurellion,1778544000,456000,Arbitrum,Protocol Logic,Uninitialized Proxy Exploit,Solidity
SQ Protocol,1778544000,346000,BSC,Protocol Logic,Acces Control Exploit,Solidity
INK Finance,1778457600,140000,Polygon,Protocol Logic,Whitelisted Address Impersonation,Solidity
Renegade,1778371200,209000,Arbitrum,Protocol Logic,Unprotected Initializer Exploit,Solidity
TrustedVolumes,1778112000,6700000,Ethereum,Protocol Logic,Forged RFQ Orders,Solidity
Ekubo,1777939200,1400000,Ethereum,Protocol Logic,Improper Access Control Exploit,
SmartCredit,1777852800,72000,Ethereum,Protocol Logic,Flashloan Exploit,Solidity
Sharwa.Finance,1777593600,32850,Arbitrum,Protocol Logic,Oracle Price Manipulation,Solidity
Bisq,1777593600,858000,Bitcoin,Protocol Logic,Fake Bisq V1 Client Hack,
Wasabi Perps,1777507200,5500000,"Ethereum, Base, Berachain, Blast",Protocol Logic,Admin Key Compromised,Solidity
Aftermath Perps,1777420800,1140000,Sui,Protocol Logic,Fee-Accounting Logic Flaw,Move
Sweat Foundation,1777420800,3500000,Near,Protocol Logic,Refund_first & Refund_second Logic Exploit,Rust
Syndicate,1777420800,380000,Base,Protocol Logic,Commons Bridge Exploit,Solidity
Quant,1777334400,138000,Ethereum,Protocol Logic,Access Control Exploit,Solidity
JUDAO,1777334400,228000,BSC,Protocol Logic,Flashloan Exploit,Solidity
Singularity Finance,1777248000,413000,Base,Protocol Logic,Oracle Misconfiguration Exploit,Solidity
ZetaChain,1777248000,300000,"Ethereum, Base, Polygon, Arbitrum, Avalanche, BSC",Protocol Logic,GatewayEVM Contracts Exploit,Solidity
Scallop Lend,1777161600,150000,Sui,Protocol Logic,Deprecated V2 Rewards Contract,Move
Litecoin,1777161600,0,Litecoin,Protocol Logic,Zero-Day Bug & DDoS Exploit,C++
Purrlend,1777075200,1500000,"MegaETH, Hyperliquid L1",Protocol Logic,Fake Bridge Address,Solidity
Giddy,1776902400,1300000,Ethereum,Protocol Logic,Incomplete EIP-712 Signature Coverage,Solidity
Kipseli,1776816000,80000,Base,Protocol Logic,Flawed Quoting Logic,Solidity
Volo Vault,1776729600,3500000,Sui,Protocol Logic,Admin Key Compromised,Move
Thetanuts Finance,1776643200,50000,Ethereum,Protocol Logic,First Depositor Attack,Solidity
Juicebox V3,1776643200,52000,Ethereum,Protocol Logic,borrowFrom Spoof Attack,Solidity
Rhea Lend,1776297600,18400000,Near,Protocol Logic,Fake Collateral Exploit,Solidity
MONA,1776038400,60950,BSC,Protocol Logic,BurnAddress Accounting Exploit,Solidity
Dango,1776038400,410000,Dango,Protocol Logic,Donate Negative Amounts Hack,Solidity
SubQuery Network,1775952000,60000,Base,Protocol Logic,Acces Control Exploit,Solidity
Hyperbridge,1775952000,2500000,"Ethereum, Base, BSC, Arbitrum",Protocol Logic,Fake State Proof,Solidity
Aethir,1775692800,423000,BSC,Protocol Logic,Acces Control Exploit,Solidity
BSC TMM/USDT,1775260800,1665000,BSC,Protocol Logic,Reserve Manipulation Attack,Solidity
LML/USDT staking protocol,1774915200,950000,BSC,Protocol Logic,Price Manipulation Attack,Solidity
GoonFi,1774656000,254000,Solana,Protocol Logic,Mispricing arbitrage,Rust
Cyrus Finance,1774137600,5000000,BSC,Protocol Logic,Flashloan Pool Shares Exploit,Solidity
dTRINITY dLEND,1773705600,257000,Ethereum,Protocol Logic,Deposit Inflation Attack,Solidity
Venus Core Pool,1773532800,3700000,BSC,Protocol Logic,Donation Attack,Solidity
Goose Finance,1773446400,8435,BSC,Protocol Logic,Share Accounting Flaw,Solidity
Stake DAO,1773273600,176000,"Arbitrum, Base",Protocol Logic,Oracle Message Spoofing,Solidity
Gondi V3,1773014400,230000,Ethereum,Protocol Logic,PurchaseBundler Exploit,Solidity
Molt EVM,1772841600,127000,Base,Protocol Logic,onlySpawnerToken Modifier Hack,Solidity
SolvBTC,1772755200,2700000,Ethereum,Protocol Logic,Mint Reserves Logic Exploit,Solidity
Curve LlamaLend,1772409600,240000,Ethereum,Protocol Logic,Donation Attack,Solidity
FOOM Cash,1772409600,2260000,"Ethereum, Base",Protocol Logic,Fake Proof Spam,Solidity
Wise Lending V2,1772236800,66000,"Arbitrum, Ethereum",Protocol Logic,Flashloan Exploit,Solidity
Ploutos Money,1772064000,390000,Ethereum,Protocol Logic,Misconfigured Oracle Exploit,Solidity
DGLD,1771804800,0,Base,Protocol Logic,Infinite Mint and Dump,Solidity
Blend Pools V2,1771718400,10970000,Stellar,Protocol Logic,Price Oracle Manipulation,
Veil Cash,1771632000,5000,Base,Protocol Logic,misconfigured Groth16 verifier,Solidity
Moonwell Lending,1771113600,1780000,Base,Protocol Logic,cbETH Collateral Exploit,Solidity
CrossCurve,1769904000,3000000,,Protocol Logic,Spoofed Cross-Chain Messages,
Revert Lend,1769644800,50000,Base,Protocol Logic,Staked Collateral Exploit,Solidity
Matcha,1769299200,13430000,"Base, Ethereum",Protocol Logic,Unlimited Approval Exploit,Solidity
Aperture LM,1769299200,3200000,"Ethereum, Base, BSC",Protocol Logic,,Solidity
Saga,1768953600,7000000,Saga,Protocol Logic,Infinite Mint and Dump,Solidity
Makina,1768780800,4200000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,Solidity
YO Protocol,1768262400,3730000,Ethereum,Protocol Logic,Slippage Exploit,Solidity
Truebit,1767830400,26400000,Ethereum,Protocol Logic,Bonding Curve Exploit,Solidity
Polycule,1767744000,230000,Polygon,Protocol Logic,,Solidity
Fusion by IPOR,1767657600,336000,Arbitrum,Protocol Logic,EIP-7702 Delegation Exploit,Solidity
TMX TRIBE,1767571200,1400000,Arbitrum,Protocol Logic,Mint & Stake Loop Exploit,Solidity
PRXVT,1767225600,97000,Base,Protocol Logic,Sybil Attack with CREATE2 Addresses,Solidity
Unleash Protocol,1767052800,3900000,Story,Protocol Logic,Multisig Governance Hack,Solidity
MSCST,1766880000,129900,BSC,Protocol Logic,Atomic Sandwich Attack,Solidity
Flow,1766793600,3900000,Flow,Protocol Logic,mint-and-dump Hack,Solidity
Rari Capital,1766016000,2000000,Ethereum,Protocol Logic,Uninitialized Proxy Hijack,Solidity
FutureSwap,1765843200,270000,Ethereum,Protocol Logic,Flashloan Governance Attack,Solidity
Yearn Finance,1765843200,300000,Ethereum,Protocol Logic,misconfigured Fulcrum sUSD strategy,Solidity
Mars Perps,1765670400,960000,Neutron,Protocol Logic,Thin-Market Skew Exploit,Rust
Ribbon,1765497600,2700000,Ethereum,Protocol Logic,Private Key Compromised,Solidity
0G Labs,1765411200,516000,0G,Protocol Logic,emergencyWithdraw Function Exploit,Solidity
US Permissionless Dollar,1764806400,1000000,Ethereum,Protocol Logic,"""CPIMP"" proxy front-run",Solidity
Yearn Ether,1764460800,9000000,Ethereum,Protocol Logic,yETH stablepool Exploit,Solidity
Port3 Network,1763856000,166000,BSC,Protocol Logic,Infinite Mint and Dump,Solidity
Impermax V3,1762819200,380000,Base,Protocol Logic,Zero-Rate Hack,Solidity
DIMO,1762473600,40000,Ethereum,Protocol Logic,Private Key Compromised,
Moonwell Lending,1762214400,1000000,"Base, Optimism",Protocol Logic,Oracle Price Feed Manipulation,Solidity
